YYMM,CC-CODE,CC-DESC,RCODE-CODE,RCODE-DESC,CCAATT-CODE,CCAATT-DESC,CCAATTMM-CODE,CCAATTMM-DESC,MALE,FEMALE,TOTAL,HOUSE
5912,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"85,107","94,661","179,768","84,599"
5912,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"59,927","67,655","127,582","53,577"
5912,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"72,638","82,591","155,229","58,908"
5912,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"39,903","43,345","83,248","35,842"
5912,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"43,265","50,506","93,771","47,479"
5912,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"57,524","66,442","123,966","58,107"
5912,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"66,156","78,293","144,449","72,370"
5912,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"38,245","42,252","80,497","41,304"
5912,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"59,467","66,669","126,136","60,466"
5912,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"73,962","84,168","158,130","107,192"
5912,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"43,099","47,278","90,377","39,129"
5912,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"81,425","91,336","172,761","86,555"
5912,10,กรุงเทพมหานคร,1033,คลองเตย,0, ,0, ,"49,891","54,320","104,211","66,481"
5912,10,กรุงเทพมหานคร,1034,สวนหลวง,0, ,0, ,"56,054","65,686","121,740","71,294"
5912,10,กรุงเทพมหานคร,1035,จอมทอง,0, ,0, ,"73,459","80,209","153,668","69,330"
5912,10,กรุงเทพมหานคร,1036,ดอนเมือง,0, ,0, ,"84,191","84,705","168,896","72,609"
5912,10,กรุงเทพมหานคร,1037,ราชเทวี,0, ,0, ,"34,725","37,711","72,436","45,522"
5912,10,กรุงเทพมหานคร,1038,ลาดพร้าว,0, ,0, ,"54,948","66,052","121,000","54,771"
5912,10,กรุงเทพมหานคร,1039,วัฒนา,0, ,0, ,"39,784","44,744","84,528","68,081"
5912,10,กรุงเทพมหานคร,1040,บางแค,0, ,0, ,"89,796","102,617","192,413","85,875"
5912,10,กรุงเทพมหานคร,1041,หลักสี่,0, ,0, ,"50,230","55,358","105,588","51,229"
